Date,BKF,EEM,AIA
2015-02-12,36.46,40.21,48.81
2015-02-13,36.77,40.67,49.06
2015-02-17,36.87,40.58,49.16
2015-02-18,36.98,40.57,49.18
2015-02-19,36.86,40.4,49.03
2015-02-20,36.9,40.67,49.28
2015-02-23,36.5,40.26,49.0
2015-02-24,37.05,40.84,49.49
2015-02-25,36.87,40.76,49.48
2015-02-26,36.89,40.77,49.56
2015-02-27,37.24,40.74,49.41
2015-03-02,36.99,40.68,49.75
2015-03-03,36.68,40.37,49.44
2015-03-04,36.16,39.93,49.09
2015-03-05,36.02,39.87,48.86
2015-03-06,35.54,39.26,48.53
2015-03-09,35.3,39.11,48.61
2015-03-10,34.59,38.24,47.73
2015-03-11,34.79,38.53,48.05
2015-03-12,34.96,38.77,48.41
2015-03-13,34.59,38.3,48.14
2015-03-16,34.95,38.76,48.87
2015-03-17,35.36,39.21,48.95
2015-03-18,36.14,40.17,49.72
2015-03-19,35.53,39.49,49.6
2015-03-20,36.0,40.08,49.92
2015-03-23,36.0,40.2,49.94
2015-03-24,36.01,40.36,49.89
2015-03-25,35.66,39.72,49.45
2015-03-26,35.3,39.35,49.35
2015-03-27,35.35,39.46,49.51
2015-03-30,36.5,40.22,50.22
2015-03-31,36.5,40.13,49.98
2015-04-01,37.12,40.63,50.21
2015-04-02,37.79,41.24,50.71
2015-04-06,38.21,41.77,51.26
2015-04-07,38.24,41.56,50.98
2015-04-08,39.9,42.43,52.31
2015-04-09,40.81,42.85,53.41
2015-04-10,40.6,42.88,53.35
2015-04-13,40.79,42.63,53.58
2015-04-14,40.71,42.82,53.51
2015-04-15,41.25,43.12,53.63
2015-04-16,41.55,43.46,54.07
2015-04-17,40.12,42.7,52.82
2015-04-20,39.99,42.66,53.19
2015-04-21,40.54,42.91,53.83
2015-04-22,41.25,43.37,54.23
2015-04-23,41.27,43.69,54.41
2015-04-24,41.29,43.85,54.64
2015-04-27,41.43,44.02,54.99
2015-04-28,41.5,44.09,54.9
2015-04-29,41.0,43.54,54.4
2015-04-30,40.65,42.88,53.69
2015-05-01,40.84,43.14,54.07
2015-05-04,41.16,43.39,54.44
2015-05-05,40.58,42.92,53.43
2015-05-06,39.88,42.39,52.96
2015-05-07,39.76,42.33,52.85
2015-05-08,40.68,42.87,53.41
2015-05-11,40.4,42.46,52.83
2015-05-12,40.28,42.32,52.68
2015-05-13,40.05,42.4,52.64
2015-05-14,40.42,42.82,52.91
2015-05-15,41.03,43.15,53.46
2015-05-18,40.46,42.71,53.02
2015-05-19,40.51,42.78,53.28
2015-05-20,40.4,42.75,53.13
2015-05-21,40.23,42.6,53.08
2015-05-22,40.71,42.74,53.94
2015-05-26,40.29,42.06,53.68
2015-05-27,40.28,42.07,53.48
2015-05-28,39.34,41.52,52.66
2015-05-29,38.88,41.12,52.31
2015-06-01,39.03,40.96,52.1
2015-06-02,39.15,41.12,52.16
2015-06-03,38.97,40.91,52.4
2015-06-04,38.53,40.29,51.98
2015-06-05,38.38,40.11,51.6
2015-06-08,38.57,40.1,51.52
2015-06-09,38.25,39.86,51.08
2015-06-10,38.35,40.44,51.31
2015-06-11,38.36,40.24,51.54
2015-06-12,38.39,40.24,51.65
2015-06-15,37.91,39.79,50.91
2015-06-16,37.89,39.8,50.72
2015-06-17,38.14,40.04,50.91
2015-06-18,38.37,40.41,51.28
2015-06-19,38.13,40.06,51.13
2015-06-22,38.47,40.64,51.77
2015-06-23,39.04,41.04,52.36
2015-06-24,38.95,40.75,51.84
2015-06-25,38.08,40.31,51.52
2015-06-26,37.63,39.93,50.8
2015-06-29,36.67,39.04,49.77
2015-06-30,37.42,39.62,50.29
2015-07-01,37.17,39.59,50.42
2015-07-02,37.38,39.78,50.67
2015-07-06,35.98,38.67,49.2
2015-07-07,35.26,38.09,48.46
2015-07-08,33.4,36.78,46.1
2015-07-09,34.57,37.49,47.36
2015-07-10,35.74,38.44,48.52
2015-07-13,36.04,38.7,48.81
2015-07-14,36.03,38.77,48.55
2015-07-15,35.53,38.33,48.2
2015-07-16,36.05,38.81,48.72
2015-07-17,36.14,38.76,49.06
2015-07-20,35.86,38.51,48.7
2015-07-21,35.87,38.52,48.83
2015-07-22,35.57,37.97,48.36
2015-07-23,35.17,37.6,48.16
2015-07-24,34.67,37.06,47.55
2015-07-27,33.61,36.36,46.56
2015-07-28,33.96,36.73,47.35
2015-07-29,34.5,37.09,47.85
2015-07-30,34.16,36.72,47.26
2015-07-31,34.17,37.12,47.16
2015-08-03,33.64,36.5,46.33
2015-08-04,33.77,36.63,46.56
2015-08-05,33.93,36.64,46.61
2015-08-06,33.65,36.32,46.04
2015-08-07,33.71,36.3,46.24
2015-08-10,34.47,36.91,46.91
2015-08-11,33.78,36.1,45.87
2015-08-12,33.26,35.54,45.08
2015-08-13,33.18,35.48,45.23
2015-08-14,33.37,35.53,45.35
2015-08-17,33.16,35.14,44.84
2015-08-18,32.8,34.76,44.27
2015-08-19,32.2,34.33,43.66
2015-08-20,31.59,33.79,42.69
2015-08-21,30.7,32.75,41.48
2015-08-24,28.73,31.32,39.42
2015-08-25,29.28,31.72,40.74
2015-08-26,30.01,32.77,41.66
2015-08-27,31.28,34.22,42.85
2015-08-28,30.89,33.78,42.26
2015-08-31,30.64,33.84,42.13
2015-09-01,29.3,32.53,40.78
2015-09-02,29.66,33.0,41.33
2015-09-03,29.83,33.13,41.65
2015-09-04,28.83,32.14,40.67
2015-09-08,30.08,33.16,42.3
2015-09-09,30.04,32.99,42.53
2015-09-10,30.17,33.33,42.43
2015-09-11,30.26,33.46,42.58
2015-09-14,30.25,33.41,42.33
2015-09-15,30.42,33.73,42.67
2015-09-16,31.26,34.55,43.96
2015-09-17,31.02,34.47,43.56
2015-09-18,30.21,33.83,42.97
2015-09-21,30.5,33.77,42.94
2015-09-22,29.91,33.14,42.15
2015-09-23,29.36,32.61,41.9
2015-09-24,29.55,32.47,41.53
2015-09-25,29.56,32.4,41.42
2015-09-28,28.83,31.71,40.65
2015-09-29,29.04,31.86,40.59
2015-09-30,29.8,32.78,41.58
2015-10-01,29.82,32.96,41.98
2015-10-02,30.79,33.84,42.81
2015-10-05,31.44,34.57,43.63
2015-10-06,31.29,34.51,43.38
2015-10-07,31.95,35.43,44.75
2015-10-08,32.35,35.81,45.31
2015-10-09,32.4,35.94,45.35
2015-10-12,32.22,35.67,45.23
2015-10-13,31.7,35.09,44.78
2015-10-14,31.77,35.36,45.11
2015-10-15,32.68,36.22,46.38
2015-10-16,32.59,36.25,46.43
2015-10-19,32.28,35.88,46.01
2015-10-20,32.36,35.87,46.11
2015-10-21,31.94,35.35,45.61
2015-10-22,32.66,36.08,46.47
2015-10-23,32.91,36.29,47.02
2015-10-26,32.4,35.96,46.51
2015-10-27,32.11,35.55,46.19
2015-10-28,31.8,35.14,45.93
2015-10-29,31.48,34.81,45.63
2015-10-30,31.42,34.87,45.59
2015-11-02,31.74,35.56,45.97
2015-11-03,32.19,36.03,46.3
2015-11-04,32.15,35.74,46.52
2015-11-05,32.19,35.8,46.4
2015-11-06,31.98,35.3,45.87
2015-11-09,31.23,34.42,45.0
2015-11-10,31.16,34.27,44.85
2015-11-11,31.22,34.34,44.95
