Date,AGG,TLT,SHY,IEI,HYG,BKLN,LQD
2015-02-11,110.87,129.95,84.61,123.09,91.0,24.07,121.0
2015-02-12,110.89,129.52,84.64,123.23,90.99,24.1,121.31
2015-02-13,110.76,128.19,84.64,123.09,91.12,24.02,120.83
2015-02-17,110.31,126.26,84.6,122.64,91.06,24.12,120.27
2015-02-18,110.62,127.01,84.7,123.08,91.37,24.11,120.7
2015-02-19,110.53,126.17,84.65,122.86,91.16,24.14,120.68
2015-02-20,110.55,126.54,84.64,122.77,91.41,24.16,120.86
2015-02-23,110.75,127.99,84.68,123.06,91.48,24.14,121.27
2015-02-24,111.24,129.67,84.75,123.54,91.57,24.17,122.06
2015-02-25,111.32,130.23,84.75,123.59,91.87,24.14,122.17
2015-02-26,110.92,128.45,84.67,123.11,91.85,24.18,121.51
2015-02-27,111.2,129.53,84.7,123.33,91.87,24.19,121.8
2015-03-02,110.45,126.87,84.6,122.79,91.46,24.16,120.42
2015-03-03,110.31,126.41,84.58,122.64,91.2,24.1,120.35
2015-03-04,110.37,126.45,84.6,122.76,91.03,24.1,120.27
2015-03-05,110.42,126.29,84.63,122.86,91.2,24.14,120.43
2015-03-06,109.7,123.5,84.54,122.17,90.62,24.1,119.15
2015-03-09,109.98,124.64,84.58,122.47,90.43,24.14,119.63
2015-03-10,110.24,126.28,84.6,122.7,90.08,24.13,119.82
2015-03-11,110.46,127.2,84.6,122.77,90.33,24.13,120.43
2015-03-12,110.55,127.11,84.62,122.87,90.51,24.16,120.31
2015-03-13,110.34,126.72,84.63,122.84,90.2,24.06,119.97
2015-03-16,110.58,127.94,84.64,123.0,90.11,23.99,120.09
2015-03-17,110.56,129.0,84.62,123.09,89.66,23.97,120.29
2015-03-18,111.37,131.49,84.82,123.97,90.46,24.06,121.77
2015-03-19,110.98,130.82,84.71,123.52,89.74,24.03,121.15
2015-03-20,111.32,131.51,84.77,123.91,90.44,24.01,121.49
2015-03-23,111.34,131.35,84.8,124.0,90.51,24.01,121.77
2015-03-24,111.64,132.62,84.83,124.2,90.65,24.0,121.95
2015-03-25,111.43,131.5,84.81,123.94,90.41,24.03,121.55
2015-03-26,111.03,129.45,84.77,123.65,90.4,24.04,120.8
2015-03-27,111.19,131.06,84.82,123.86,90.47,24.04,121.28
2015-03-30,111.24,130.41,84.81,123.94,90.72,24.13,121.49
2015-03-31,111.43,130.69,84.88,124.17,90.61,24.09,121.71
2015-04-01,111.58,132.13,84.88,124.29,90.39,24.15,121.73
2015-04-02,111.43,130.73,84.87,124.2,90.46,24.18,121.53
2015-04-06,111.5,130.0,84.94,124.45,90.69,24.18,121.69
2015-04-07,111.52,131.09,84.88,124.33,91.17,24.21,122.13
2015-04-08,111.53,131.13,84.88,124.29,91.15,24.24,122.09
2015-04-09,111.25,129.43,84.85,124.02,91.06,24.25,121.47
2015-04-10,111.25,129.62,84.83,123.98,91.27,24.28,121.64
2015-04-13,111.37,129.8,84.88,124.15,91.1,24.27,121.6
2015-04-14,111.49,130.72,84.92,124.33,91.14,24.26,121.88
2015-04-15,111.64,130.61,84.92,124.39,91.5,24.22,121.96
2015-04-16,111.58,129.96,84.96,124.56,91.31,24.22,121.89
2015-04-17,111.67,131.45,84.92,124.52,91.03,24.13,122.22
2015-04-20,111.59,130.29,84.91,124.48,91.23,24.17,121.93
