Date,VOOV,EZU,IWM,SMH,IBB,XLU,VOOG,SPY,QQQ
2/11/15,89.86,37.22,119.45,55.28,105.75,46.08,101.52,206.93,104.78
2/12/15,90.75,38.2,120.81,56.06,106.81,45.87,102.6,208.92,106
2/13/15,91.08,38.29,121.53,56.39,107.82,45.17,103.12,209.78,106.91
2/17/15,91.13,38.34,121.91,56.63,108.94,45.13,103.24,210.11,107.01
2/18/15,91.01,38.44,122.04,56.44,109.81,46.2,103.44,210.13,107.16
2/19/15,90.75,38.4,122.05,56.47,110.66,45.68,103.64,209.98,107.69
2/20/15,91.2,39.01,122.38,56.73,112.14,45.69,104.31,211.24,108.41
2/23/15,90.8,38.76,122.5,56.32,112.67,46,104.46,211.21,108.52
2/24/15,91.54,39.12,122.66,57.48,111.72,46.34,104.55,211.81,108.6
2/25/15,91.33,39.03,122.8,57.09,113.15,45.58,104.53,211.63,108.33
2/26/15,91.06,38.81,123.25,57.3,113.6,45.28,104.63,211.38,108.88
2/27/15,90.84,38.96,122.58,56.97,112.49,45.23,104.21,210.66,108.4
3/2/15,91.11,39.07,123.47,58.47,113.25,44.36,105.15,211.99,109.38
3/3/15,90.9,38.67,122.74,57.51,112.64,44.63,104.5,211.12,108.87
3/4/15,90.44,38.48,122.36,57.42,113.36,44.38,104.22,210.23,108.45
3/5/15,90.54,38.66,122.72,57.4,115.89,44.73,104.36,210.46,108.64
3/6/15,89.31,38,121.17,56.68,114.12,43.39,102.67,207.5,107.41
3/9/15,89.7,38.13,121.7,56.48,114.29,43.47,103.36,208.36,107.72
3/10/15,88.26,37.22,120.3,55.33,113.81,43.39,101.57,204.98,105.72
3/11/15,88.15,37.49,121.04,55.74,114.18,43.11,101.32,204.5,105.11
3/12/15,89.35,37.81,123.05,55.43,114.94,43.93,102.48,207.1,105.8
3/13/15,88.84,37.56,122.61,55.89,115.11,43.48,101.96,205.83,105.34
3/16/15,89.8,38.21,123.33,56.63,117.99,44.23,103.27,208.58,106.7
3/17/15,89.54,37.97,123.66,56.25,118.75,44.16,103.07,207.96,106.87
3/18/15,90.54,38.64,124.65,56.77,119.38,45.35,104.19,210.46,107.92
3/19/15,89.86,38,124.89,56.84,121.75,44.93,104.21,209.5,108.08
3/20/15,90.72,39.08,125.99,57.74,122.17,44.98,105.07,210.41,108.53
3/23/15,90.24,39.27,125.88,57.23,119.43,45.01,104.5,210,108.32
3/24/15,89.54,39.43,125.85,56.71,118.65,44.51,103.91,208.82,107.93
3/25/15,88.66,39.16,122.47,54.06,113.77,43.99,101.87,205.76,105.46
3/26/15,88.42,38.79,122.32,53.67,113.6,43.62,101.74,205.27,105.1
3/27/15,88.45,39.01,123.1,55.39,115.82,43.88,102.03,205.74,105.52
3/30/15,89.73,39.17,124.77,55.86,117.11,44.42,103.1,208.25,106.73
3/31/15,89.14,38.58,124.37,55.3,114.48,44.43,102.12,206.43,105.6
4/1/15,88.72,38.95,124.42,54.76,113.36,44.47,101.52,205.7,105.05
4/2/15,89.17,39.39,124.65,54.91,113.23,44.55,102.03,206.44,105.12
4/6/15,89.85,39.76,125.2,55.05,112.95,45.17,102.52,207.83,105.98
4/7/15,89.69,39.53,124.4,55.08,113.97,44.65,102.32,207.28,105.8
4/8/15,89.64,39.43,125.47,55.35,117.34,44.52,102.83,207.98,106.64
4/9/15,90.18,39.41,125.02,55.9,117.69,44.33,103.3,208.9,107.31
4/10/15,90.78,39.51,125.62,56.23,119.15,44.66,103.6,210.04,107.75
4/13/15,90.43,39.3,125.7,55.84,119.44,44.22,103.2,209.09,107.48
4/14/15,90.62,39.54,125.67,55.33,119.07,44.44,103.17,209.49,107.17
4/15/15,91.26,39.62,126.55,56.36,120.31,44.55,103.58,210.43,107.84
4/16/15,91.23,39.53,126.48,56.11,120.5,44.26,103.57,210.37,107.69
4/17/15,90.11,38.85,124.43,55.39,118.82,44.1,102.34,207.95,106.01
4/20/15,90.78,38.92,125.65,55.85,119.32,44.76,103.56,209.85,107.6
4/21/15,90.35,39.22,125.52,56.21,121.5,44.36,103.7,209.6,108.06
4/22/15,90.79,39.22,125.71,57.23,121.28,44.45,104.24,210.63,108.65
4/23/15,91.28,39.31,126.28,56.64,122.56,44.7,104.43,211.16,109.06
4/24/15,90.95,39.5,125.86,56.04,121.23,45.15,105.04,211.65,110.54
4/27/15,90.59,40.01,124.47,56.49,116.18,44.61,104.44,210.77,110.26
4/28/15,91.08,39.96,125.16,56.45,114.83,44.93,104.39,211.44,110.04
4/29/15,90.99,39.4,123.8,56.04,114.94,44.74,103.95,210.57,109.35
4/30/15,90.34,39.44,121.18,55.46,111.22,44.22,102.64,208.46,107.63
5/1/15,91.16,39.91,121.97,57.04,114.67,44.47,103.95,210.72,109.05
5/4/15,91.6,39.73,122.41,56.73,115.06,44.8,104.09,211.32,109.23
5/5/15,90.68,38.98,120.85,55.65,112.67,43.8,102.72,208.9,107.45
5/6/15,90.24,39.44,121.27,55.64,113.57,43.56,102.21,208.04,106.71
5/7/15,90.47,39.29,121.73,56.04,114.7,43.72,102.93,208.87,107.35
5/8/15,91.6,40.16,122.64,56.57,117.38,44.03,104.3,211.62,108.69
5/11/15,91.19,39.73,122.71,56.55,117.43,43.73,103.84,210.61,108.27
5/12/15,90.94,39.6,122.49,56.12,117.26,43.68,103.55,209.98,107.78
5/13/15,90.97,39.83,122.49,56.4,116.95,43.25,103.49,210.02,108
5/14/15,91.63,40.67,123.79,56.98,118.53,43.75,104.86,212.21,109.58
5/15/15,91.59,40.7,123.65,57.06,118.54,44.32,104.9,212.44,109.58
5/18/15,92,40.4,125.05,57.56,120.1,44.49,105.35,213.1,110.06
5/19/15,91.99,40.42,124.88,57.46,120.16,44.59,105.33,213.03,109.94
5/20/15,92.05,40.52,125.11,57.63,121.2,44.66,105.12,212.88,110.01
5/21/15,92.23,40.64,124.97,57.74,121.2,44.64,105.39,213.5,110.58
5/22/15,91.99,40.2,124.43,57.79,121.51,44.57,105.12,212.99,110.47
5/26/15,91.02,39.14,123.24,57.33,120.1,44.29,104.13,210.7,109.2
5/27/15,91.58,39.77,124.75,59.47,122.32,44.47,105.25,212.7,110.96
5/28/15,91.55,39.77,124.64,59.55,121.63,44.57,105.22,212.46,110.71
5/29/15,91.17,39.19,123.89,59.81,121.68,44.5,104.38,211.14,110.05
6/1/15,91.12,39.09,124.28,59.6,121.6,44.56,104.67,211.57,110.42
6/2/15,91.12,39.56,124.52,58.75,121.15,43.97,104.57,211.36,110.07
6/3/15,91.41,40.08,125.76,58.34,121.61,43.32,104.69,211.92,110.4
6/4/15,90.53,39.49,124.5,57.65,120.93,43.26,103.77,210.13,109.56
6/5/15,90.61,38.79,125.4,57.48,122.35,42.72,103.58,209.77,109.3
6/8/15,90.29,38.78,124.82,56.45,121.67,42.47,102.89,208.48,108.19
6/9/15,90.21,38.65,124.44,56.51,120.21,42.37,102.8,208.45,108.01
6/10/15,91.31,39.72,125.99,57.37,121.94,42.58,104.04,210.95,109.49
6/11/15,91.43,39.83,126.31,57.44,122.69,42.92,104.24,211.63,109.65
6/12/15,90.92,39.31,125.93,56.95,121.3,42.54,103.57,210.01,108.75
6/15/15,90.32,38.8,125.53,56.79,121.23,42.47,103.15,209.11,108.21
6/16/15,90.93,38.78,126.42,57.04,121.46,42.67,103.68,210.25,108.8
6/17/15,91.09,38.6,126.23,57.09,122.18,43.03,103.98,210.59,109.1
6/18/15,91.76,39.21,127.92,57.9,125.96,43.6,105.17,212.78,110.69
6/19/15,91.3,38.99,127.86,57.69,125.83,42.79,104.61,210.81,109.89
6/22/15,91.18,40.34,128.74,58.19,127.72,42.73,105.09,211.89,110.7
6/23/15,91.43,40.25,129.01,57.91,127.75,42.15,104.98,212.04,110.79
6/24/15,90.69,39.88,127.92,57.46,125.86,41.82,104.45,210.5,110.22
6/25/15,90.32,39.3,127.85,57.59,125.28,41.54,104.14,209.86,110
6/26/15,90.47,39.51,127.5,55.91,124.26,41.79,104.02,209.82,109.27
6/29/15,88.63,37.82,124.28,54.31,120.19,41.57,101.73,205.42,106.69
6/30/15,88.78,37.54,124.86,54.57,122.99,41.46,102.08,205.85,107.07
7/1/15,89.35,37.84,125.23,54.78,123.3,41.71,102.85,207.5,107.92
7/2/15,89.31,37.67,123.78,55.12,123.45,42.23,102.83,207.31,107.95
7/6/15,88.84,36.48,123.74,54.23,124.12,42.4,102.54,206.72,107.7
7/7/15,89.44,36.57,123.88,53.96,124.47,43.45,103.13,208.02,107.97
7/8/15,88.02,36.07,121.99,52.55,120.93,43.22,101.53,204.53,106.09
7/9/15,88.4,36.84,122.43,51.96,122.25,42.74,101.61,204.9,106.03
7/10/15,89.21,38.74,124.13,52.9,124.27,42.97,103.07,207.48,107.65
7/13/15,90,38.63,125.53,53.36,126.38,42.99,104.32,209.77,109.54
7/14/15,90.41,38.84,126.23,53.79,129.31,42.93,104.81,210.68,110.26
7/15/15,90.22,38.69,125.56,53.52,130.25,43.14,104.75,210.61,110.38
7/16/15,90.74,39.06,126.31,53.49,131.89,43.78,105.77,212.3,111.94
7/17/15,90.49,38.95,125.76,53.46,132.53,43.35,106.38,212.48,113.59
7/20/15,90.41,39.12,125.08,53.03,132.67,43.13,106.64,212.59,113.98
7/21/15,89.65,39.04,124.49,52.99,131.83,42.74,106.39,211.75,113.91
7/22/15,89.84,38.84,124.95,51.7,131.45,42.93,105.88,211.37,112.62
7/23/15,89.24,38.84,123.57,52.42,131.25,42.29,105.33,210.18,112.2
7/24/15,88.22,38.45,121.58,51.21,125.86,42.33,104.42,208,111.1
7/27/15,87.63,38.1,120.57,51.01,124.53,42.87,103.69,206.79,110.18
7/28/15,88.68,38.52,121.6,52.07,127.61,43.07,105.05,209.33,111.13
7/29/15,89.54,38.51,121.94,52.28,125.81,43.23,105.74,210.77,111.55
7/30/15,89.53,38.35,122.29,52.76,126.27,43.55,105.84,210.82,112.08
7/31/15,89.16,38.69,122.96,52.15,127.51,43.99,105.77,210.5,111.95
8/3/15,88.31,38.83,122.35,51.9,127.38,44.22,105.36,209.79,111.6
8/4/15,88.55,38.69,122.06,51.35,127.94,43.51,105.33,209.38,111.39
8/5/15,88.86,39.01,122.34,51.97,128.91,43.62,105.74,210.07,112.25
8/6/15,88.57,39.1,120.69,51.37,123.36,43.85,104.59,208.35,110.45
8/7/15,87.94,39,119.88,51.5,122.89,44.39,104.45,207.95,110.31
8/10/15,89.42,39.49,121.26,52.8,123.81,44.21,105.47,210.57,111.57
8/11/15,88.54,38.92,120.22,51.6,122.39,44.43,104.63,208.67,110.14
8/12/15,88.74,38.54,119.99,51.73,123.39,45.22,104.75,208.92,110.52
8/13/15,88.58,38.32,119.59,51.02,122.13,45.23,104.68,208.66,110.34
8/14/15,88.74,38.25,120.36,50.65,121.35,45.57,105.05,209.42,110.51
8/17/15,89.01,38.12,121.63,51.04,123.87,45.79,105.84,210.59,111.43
8/18/15,88.94,37.8,120.66,50.14,122.76,45.68,105.45,209.98,110.86
8/19/15,88.17,37.52,119.41,49.63,121.89,45.87,104.93,208.32,110.13
8/20/15,86.38,36.54,116.39,48.01,116.94,45.6,102.62,203.97,107.08
8/21/15,83.98,35.96,115.03,46.79,113.28,45.05,99.01,197.63,102.4
8/24/15,80.73,35.11,110.54,46.05,108.29,43.37,95.44,189.55,98.46
8/25/15,79.5,35.3,109.69,45.66,108.42,42.03,94.07,187.27,98.09
8/26/15,81.77,36.12,112.48,47.75,113.92,42.78,98.13,194.46,103.03
8/27/15,83.92,36.39,114.49,49.34,116.97,43.28,100.25,199.27,105.64
8/28/15,84.03,36.12,115.62,49.76,117.76,43.15,100.29,199.28,105.62
8/31/15,83.82,36.02,115.2,49.55,114,42.46,99.31,197.67,104.31
9/1/15,81.3,35.14,111.9,48.01,111.11,41.31,96.35,191.77,101.05
9/2/15,82.18,35.58,113.91,49.2,115.41,41.34,98.47,195.41,103.9
9/3/15,82.91,35.56,113.73,49.69,112.88,41.53,98.35,195.55,103.39
9/4/15,81.44,34.83,112.87,48.91,112.37,40.96,97.06,192.59,102.16
9/8/15,83.29,35.85,115.45,50.77,117.26,41.83,99.49,197.43,105.04
9/9/15,82.08,35.55,114.12,50,114.74,41.31,98.12,194.79,103.86
9/10/15,82.48,36.03,114.64,50.16,116.91,41.24,98.68,195.85,104.99
9/11/15,82.73,35.94,115.18,50.25,118.25,41.55,99.1,196.74,105.57
9/14/15,82.44,35.59,114.65,50.37,117.8,41.65,98.87,196.01,105.25
9/15/15,83.53,35.86,115.94,51.11,119.15,41.87,100.24,198.46,106.49
9/16/15,84.42,36.27,116.94,51.34,118.38,42.29,100.89,200.18,107.09
9/17/15,84.07,36.6,117.34,51.01,120.83,42.87,101.01,199.73,107.13
9/18/15,82.28,35.43,115.72,50.15,118.92,42.23,99.58,195.45,105.35
9/21/15,82.19,35.29,115.51,50.12,113.49,42.4,99.45,196.46,105.68
9/22/15,81.33,34.19,113.76,49.08,111.8,41.87,98.35,193.91,104.1
9/23/15,81.09,34.09,113.42,48.73,110.94,41.98,98.29,193.6,104.18
9/24/15,80.93,33.97,113.23,48.71,108.74,42.32,97.82,192.9,103.8
9/25/15,81.2,34.26,111.42,48.97,103.41,42.73,97.5,192.85,102.92
9/28/15,79.42,33.66,108.3,47.93,96.87,42.52,94.8,188.01,99.99
9/29/15,79.57,33.83,107.53,48.26,96.49,42.53,94.69,188.12,99.47
9/30/15,80.89,34.34,109.2,49.88,101.11,43.29,96.65,191.63,101.76
10/1/15,80.59,34.27,109.01,49.55,101.65,42.78,97.1,192.13,102.22
10/2/15,81.88,34.86,110.63,50.33,105.18,43.35,98.58,195,104.01
10/5/15,83.76,35.59,113.27,51.22,104.4,43.91,100.08,198.47,105.5
10/6/15,83.86,35.86,112.49,51.43,100.64,43.61,99.51,197.79,105
